"Method" "power" "error" "m"
"ar" 0.9886 0.0518 -1
"ar" 0.9762 0.0471 -0.948717948717949
"ar" 0.9642 0.0468 -0.897435897435897
"ar" 0.9361 0.0443 -0.846153846153846
"ar" 0.9073 0.0487 -0.794871794871795
"ar" 0.857 0.044 -0.743589743589744
"ar" 0.8059 0.0448 -0.692307692307692
"ar" 0.7447 0.0522 -0.641025641025641
"ar" 0.6851 0.0488 -0.58974358974359
"ar" 0.6048 0.0488 -0.538461538461539
"ar" 0.54 0.0494 -0.487179487179487
"ar" 0.4622 0.0478 -0.435897435897436
"ar" 0.403 0.0502 -0.384615384615385
"ar" 0.3423 0.0481 -0.333333333333333
"ar" 0.2845 0.0496 -0.282051282051282
"ar" 0.2434 0.0485 -0.230769230769231
"ar" 0.2111 0.0495 -0.17948717948718
"ar" 0.1939 0.0494 -0.128205128205128
"ar" 0.1682 0.0511 -0.076923076923077
"ar" 0.1595 0.0502 -0.0256410256410257
"ar" 0.1699 0.0506 0.0256410256410255
"ar" 0.1679 0.0475 0.0769230769230769
"ar" 0.1842 0.0529 0.128205128205128
"ar" 0.217 0.0457 0.17948717948718
"ar" 0.2363 0.0477 0.230769230769231
"ar" 0.2895 0.0498 0.282051282051282
"ar" 0.3358 0.0478 0.333333333333333
"ar" 0.4006 0.05 0.384615384615385
"ar" 0.4576 0.0507 0.435897435897436
"ar" 0.5381 0.0489 0.487179487179487
"ar" 0.6194 0.0519 0.538461538461538
"ar" 0.6782 0.0469 0.58974358974359
"ar" 0.7397 0.0483 0.641025641025641
"ar" 0.802 0.0463 0.692307692307692
"ar" 0.8589 0.0471 0.743589743589744
"ar" 0.9068 0.0511 0.794871794871795
"ar" 0.9381 0.0456 0.846153846153846
"ar" 0.9628 0.0468 0.897435897435897
"ar" 0.9767 0.0496 0.948717948717949
"ar" 0.9877 0.0495 1
"ks" 0.994 0.0405 -1
"ks" 0.985 0.0357 -0.948717948717949
"ks" 0.9789 0.0419 -0.897435897435897
"ks" 0.9601 0.0402 -0.846153846153846
"ks" 0.9356 0.038 -0.794871794871795
"ks" 0.8939 0.0409 -0.743589743589744
"ks" 0.8366 0.0349 -0.692307692307692
"ks" 0.7687 0.0392 -0.641025641025641
"ks" 0.6928 0.0421 -0.58974358974359
"ks" 0.5945 0.0377 -0.538461538461539
"ks" 0.5058 0.0389 -0.487179487179487
"ks" 0.4147 0.0428 -0.435897435897436
"ks" 0.3108 0.0408 -0.384615384615385
"ks" 0.2351 0.0379 -0.333333333333333
"ks" 0.1624 0.0435 -0.282051282051282
"ks" 0.1151 0.0391 -0.230769230769231
"ks" 0.0738 0.0397 -0.17948717948718
"ks" 0.0469 0.039 -0.128205128205128
"ks" 0.0269 0.0414 -0.076923076923077
"ks" 0.0205 0.0388 -0.0256410256410257
"ks" 0.0229 0.0406 0.0256410256410255
"ks" 0.031 0.0378 0.0769230769230769
"ks" 0.0485 0.0426 0.128205128205128
"ks" 0.0747 0.0392 0.17948717948718
"ks" 0.112 0.039 0.230769230769231
"ks" 0.171 0.0404 0.282051282051282
"ks" 0.2334 0.0402 0.333333333333333
"ks" 0.3136 0.0398 0.384615384615385
"ks" 0.4064 0.0402 0.435897435897436
"ks" 0.5072 0.0359 0.487179487179487
"ks" 0.6064 0.0391 0.538461538461538
"ks" 0.6889 0.0371 0.58974358974359
"ks" 0.7673 0.0438 0.641025641025641
"ks" 0.8355 0.042 0.692307692307692
"ks" 0.8897 0.0405 0.743589743589744
"ks" 0.9349 0.0403 0.794871794871795
"ks" 0.9608 0.0372 0.846153846153846
"ks" 0.9805 0.0339 0.897435897435897
"ks" 0.9887 0.0418 0.948717948717949
"ks" 0.9941 0.0422 1
