"Method" "power" "error" "m"
"ar" 0.847 0.048 -1
"ar" 0.797 0.026 -0.948717948717949
"ar" 0.758 0.048 -0.897435897435897
"ar" 0.715 0.04 -0.846153846153846
"ar" 0.623 0.041 -0.794871794871795
"ar" 0.557 0.051 -0.743589743589744
"ar" 0.509 0.041 -0.692307692307692
"ar" 0.438 0.04 -0.641025641025641
"ar" 0.368 0.036 -0.58974358974359
"ar" 0.32 0.049 -0.538461538461539
"ar" 0.286 0.054 -0.487179487179487
"ar" 0.223 0.035 -0.435897435897436
"ar" 0.205 0.043 -0.384615384615385
"ar" 0.218 0.032 -0.333333333333333
"ar" 0.118 0.044 -0.282051282051282
"ar" 0.158 0.038 -0.230769230769231
"ar" 0.122 0.039 -0.17948717948718
"ar" 0.109 0.032 -0.128205128205128
"ar" 0.096 0.042 -0.076923076923077
"ar" 0.113 0.034 -0.0256410256410257
"ar" 0.095 0.041 0.0256410256410255
"ar" 0.102 0.051 0.0769230769230769
"ar" 0.094 0.043 0.128205128205128
"ar" 0.119 0.045 0.17948717948718
"ar" 0.139 0.044 0.230769230769231
"ar" 0.177 0.044 0.282051282051282
"ar" 0.183 0.03 0.333333333333333
"ar" 0.221 0.044 0.384615384615385
"ar" 0.251 0.036 0.435897435897436
"ar" 0.3 0.041 0.487179487179487
"ar" 0.339 0.037 0.538461538461538
"ar" 0.395 0.042 0.58974358974359
"ar" 0.428 0.032 0.641025641025641
"ar" 0.503 0.032 0.692307692307692
"ar" 0.547 0.045 0.743589743589744
"ar" 0.597 0.035 0.794871794871795
"ar" 0.682 0.04 0.846153846153846
"ar" 0.737 0.038 0.897435897435897
"ar" 0.785 0.038 0.948717948717949
"ar" 0.865 0.05 1
"ff" 0.953 0.051 -1
"ff" 0.923 0.034 -0.948717948717949
"ff" 0.914 0.056 -0.897435897435897
"ff" 0.877 0.049 -0.846153846153846
"ff" 0.821 0.054 -0.794871794871795
"ff" 0.776 0.061 -0.743589743589744
"ff" 0.704 0.041 -0.692307692307692
"ff" 0.629 0.05 -0.641025641025641
"ff" 0.569 0.055 -0.58974358974359
"ff" 0.462 0.048 -0.538461538461539
"ff" 0.385 0.067 -0.487179487179487
"ff" 0.32 0.053 -0.435897435897436
"ff" 0.264 0.044 -0.384615384615385
"ff" 0.244 0.045 -0.333333333333333
"ff" 0.184 0.051 -0.282051282051282
"ff" 0.127 0.036 -0.230769230769231
"ff" 0.099 0.049 -0.17948717948718
"ff" 0.067 0.045 -0.128205128205128
"ff" 0.066 0.062 -0.076923076923077
"ff" 0.067 0.05 -0.0256410256410257
"ff" 0.055 0.061 0.0256410256410255
"ff" 0.068 0.063 0.0769230769230769
"ff" 0.066 0.056 0.128205128205128
"ff" 0.093 0.054 0.17948717948718
"ff" 0.137 0.058 0.230769230769231
"ff" 0.191 0.056 0.282051282051282
"ff" 0.229 0.046 0.333333333333333
"ff" 0.274 0.061 0.384615384615385
"ff" 0.35 0.079 0.435897435897436
"ff" 0.41 0.044 0.487179487179487
"ff" 0.492 0.049 0.538461538461538
"ff" 0.559 0.06 0.58974358974359
"ff" 0.633 0.047 0.641025641025641
"ff" 0.672 0.05 0.692307692307692
"ff" 0.765 0.061 0.743589743589744
"ff" 0.794 0.052 0.794871794871795
"ff" 0.863 0.036 0.846153846153846
"ff" 0.904 0.054 0.897435897435897
"ff" 0.931 0.046 0.948717948717949
"ff" 0.962 0.05 1
