"Method" "power" "error" "m"
"ar" 0.9909 0.0506 -1
"ar" 0.9795 0.0481 -0.948717948717949
"ar" 0.9618 0.0507 -0.897435897435897
"ar" 0.9325 0.0492 -0.846153846153846
"ar" 0.8865 0.0505 -0.794871794871795
"ar" 0.8267 0.0497 -0.743589743589744
"ar" 0.7449 0.0508 -0.692307692307692
"ar" 0.6638 0.0505 -0.641025641025641
"ar" 0.5596 0.0518 -0.58974358974359
"ar" 0.4488 0.0516 -0.538461538461539
"ar" 0.3645 0.0527 -0.487179487179487
"ar" 0.2744 0.0482 -0.435897435897436
"ar" 0.1992 0.0541 -0.384615384615385
"ar" 0.1462 0.0467 -0.333333333333333
"ar" 0.1067 0.0488 -0.282051282051282
"ar" 0.0783 0.0505 -0.230769230769231
"ar" 0.0558 0.0493 -0.17948717948718
"ar" 0.0435 0.0509 -0.128205128205128
"ar" 0.0377 0.0514 -0.076923076923077
"ar" 0.0305 0.0497 -0.0256410256410257
"ar" 0.0334 0.0526 0.0256410256410255
"ar" 0.0342 0.0481 0.0769230769230769
"ar" 0.0453 0.0494 0.128205128205128
"ar" 0.0572 0.0474 0.17948717948718
"ar" 0.0814 0.0484 0.230769230769231
"ar" 0.1066 0.0525 0.282051282051282
"ar" 0.1511 0.0465 0.333333333333333
"ar" 0.1991 0.0484 0.384615384615385
"ar" 0.2781 0.0504 0.435897435897436
"ar" 0.3614 0.0508 0.487179487179487
"ar" 0.4593 0.0502 0.538461538461538
"ar" 0.5604 0.0504 0.58974358974359
"ar" 0.6529 0.052 0.641025641025641
"ar" 0.7503 0.0474 0.692307692307692
"ar" 0.8328 0.0499 0.743589743589744
"ar" 0.8877 0.0512 0.794871794871795
"ar" 0.9311 0.0503 0.846153846153846
"ar" 0.9661 0.0517 0.897435897435897
"ar" 0.9796 0.0508 0.948717948717949
"ar" 0.9897 0.0496 1
"ks" 0.9987 0.0389 -1
"ks" 0.9944 0.0428 -0.948717948717949
"ks" 0.9899 0.0408 -0.897435897435897
"ks" 0.9763 0.0379 -0.846153846153846
"ks" 0.9572 0.0435 -0.794871794871795
"ks" 0.927 0.0391 -0.743589743589744
"ks" 0.8717 0.0397 -0.692307692307692
"ks" 0.8042 0.039 -0.641025641025641
"ks" 0.7178 0.0414 -0.58974358974359
"ks" 0.617 0.0388 -0.538461538461539
"ks" 0.5078 0.0406 -0.487179487179487
"ks" 0.3956 0.0378 -0.435897435897436
"ks" 0.297 0.0426 -0.384615384615385
"ks" 0.2013 0.0392 -0.333333333333333
"ks" 0.14 0.039 -0.282051282051282
"ks" 0.0884 0.0404 -0.230769230769231
"ks" 0.0525 0.0402 -0.17948717948718
"ks" 0.0281 0.0398 -0.128205128205128
"ks" 0.0188 0.0402 -0.076923076923077
"ks" 0.0111 0.0359 -0.0256410256410257
"ks" 0.0112 0.0391 0.0256410256410255
"ks" 0.0142 0.0371 0.0769230769230769
"ks" 0.0293 0.0438 0.128205128205128
"ks" 0.0499 0.042 0.17948717948718
"ks" 0.0894 0.0405 0.230769230769231
"ks" 0.1359 0.0403 0.282051282051282
"ks" 0.2083 0.0372 0.333333333333333
"ks" 0.2995 0.0339 0.384615384615385
"ks" 0.4107 0.0418 0.435897435897436
"ks" 0.5119 0.0422 0.487179487179487
"ks" 0.6191 0.0392 0.538461538461538
"ks" 0.7133 0.0411 0.58974358974359
"ks" 0.8065 0.0411 0.641025641025641
"ks" 0.8741 0.0375 0.692307692307692
"ks" 0.9289 0.0401 0.743589743589744
"ks" 0.9564 0.0382 0.794871794871795
"ks" 0.9779 0.0409 0.846153846153846
"ks" 0.9907 0.0375 0.897435897435897
"ks" 0.995 0.0373 0.948717948717949
"ks" 0.998 0.0361 1
