"Method" "power" "error" "m"
"ar" 0.9515 0.0517 -1
"ar" 0.9392 0.0525 -0.948717948717949
"ar" 0.9256 0.0504 -0.897435897435897
"ar" 0.8994 0.0527 -0.846153846153846
"ar" 0.8818 0.0558 -0.794871794871795
"ar" 0.8532 0.0528 -0.743589743589744
"ar" 0.8172 0.0495 -0.692307692307692
"ar" 0.7841 0.051 -0.641025641025641
"ar" 0.7457 0.0528 -0.58974358974359
"ar" 0.7112 0.0489 -0.538461538461539
"ar" 0.6646 0.0483 -0.487179487179487
"ar" 0.6339 0.053 -0.435897435897436
"ar" 0.5956 0.0488 -0.384615384615385
"ar" 0.5559 0.0534 -0.333333333333333
"ar" 0.5334 0.0518 -0.282051282051282
"ar" 0.4983 0.0586 -0.230769230769231
"ar" 0.4789 0.0539 -0.17948717948718
"ar" 0.4485 0.0526 -0.128205128205128
"ar" 0.4422 0.0533 -0.076923076923077
"ar" 0.4304 0.051 -0.0256410256410257
"ar" 0.4372 0.053 0.0256410256410255
"ar" 0.4464 0.0484 0.0769230769230769
"ar" 0.4511 0.0527 0.128205128205128
"ar" 0.4741 0.0549 0.17948717948718
"ar" 0.4981 0.0537 0.230769230769231
"ar" 0.5303 0.0487 0.282051282051282
"ar" 0.5583 0.0518 0.333333333333333
"ar" 0.5958 0.0518 0.384615384615385
"ar" 0.6303 0.049 0.435897435897436
"ar" 0.6782 0.0544 0.487179487179487
"ar" 0.7102 0.0516 0.538461538461538
"ar" 0.7505 0.0515 0.58974358974359
"ar" 0.7914 0.0517 0.641025641025641
"ar" 0.8185 0.0527 0.692307692307692
"ar" 0.8594 0.0481 0.743589743589744
"ar" 0.8819 0.0538 0.794871794871795
"ar" 0.8954 0.048 0.846153846153846
"ar" 0.9252 0.0511 0.897435897435897
"ar" 0.9381 0.0478 0.948717948717949
"ar" 0.9542 0.0492 1
"ks" 0.931 0.0411 -1
"ks" 0.9168 0.0375 -0.948717948717949
"ks" 0.8917 0.0398 -0.897435897435897
"ks" 0.8553 0.0402 -0.846153846153846
"ks" 0.8233 0.0437 -0.794871794871795
"ks" 0.7909 0.0394 -0.743589743589744
"ks" 0.7376 0.0386 -0.692307692307692
"ks" 0.6762 0.039 -0.641025641025641
"ks" 0.6171 0.0391 -0.58974358974359
"ks" 0.5545 0.0383 -0.538461538461539
"ks" 0.479 0.0404 -0.487179487179487
"ks" 0.4223 0.0409 -0.435897435897436
"ks" 0.3634 0.0383 -0.384615384615385
"ks" 0.308 0.0419 -0.333333333333333
"ks" 0.2622 0.0353 -0.282051282051282
"ks" 0.2221 0.0415 -0.230769230769231
"ks" 0.1855 0.0418 -0.17948717948718
"ks" 0.1616 0.0386 -0.128205128205128
"ks" 0.1493 0.0385 -0.076923076923077
"ks" 0.1323 0.0393 -0.0256410256410257
"ks" 0.1344 0.0398 0.0256410256410255
"ks" 0.142 0.0395 0.0769230769230769
"ks" 0.1612 0.0371 0.128205128205128
"ks" 0.1864 0.0384 0.17948717948718
"ks" 0.2195 0.0378 0.230769230769231
"ks" 0.2528 0.0372 0.282051282051282
"ks" 0.3104 0.0401 0.333333333333333
"ks" 0.3664 0.0404 0.384615384615385
"ks" 0.4191 0.0352 0.435897435897436
"ks" 0.4923 0.0418 0.487179487179487
"ks" 0.5522 0.0403 0.538461538461538
"ks" 0.6141 0.0372 0.58974358974359
"ks" 0.6773 0.0409 0.641025641025641
"ks" 0.735 0.04 0.692307692307692
"ks" 0.7863 0.0377 0.743589743589744
"ks" 0.8277 0.0369 0.794871794871795
"ks" 0.8548 0.0372 0.846153846153846
"ks" 0.8934 0.0377 0.897435897435897
"ks" 0.9103 0.0383 0.948717948717949
"ks" 0.9322 0.0385 1
