"Method" "power" "error" "r"
"ar_stat" 0.5539 0.0461 -0.99
"ar_stat" 0.5601 0.0412 -0.949591836734694
"ar_stat" 0.5725 0.0458 -0.909183673469388
"ar_stat" 0.5781 0.0434 -0.868775510204082
"ar_stat" 0.5943 0.0478 -0.828367346938776
"ar_stat" 0.6101 0.0461 -0.787959183673469
"ar_stat" 0.6208 0.0466 -0.747551020408163
"ar_stat" 0.625 0.0479 -0.707142857142857
"ar_stat" 0.6259 0.0485 -0.666734693877551
"ar_stat" 0.6488 0.0462 -0.626326530612245
"ar_stat" 0.6537 0.0484 -0.585918367346939
"ar_stat" 0.6638 0.0499 -0.545510204081633
"ar_stat" 0.6771 0.0466 -0.505102040816326
"ar_stat" 0.6855 0.0464 -0.46469387755102
"ar_stat" 0.6943 0.0457 -0.424285714285714
"ar_stat" 0.7097 0.0483 -0.383877551020408
"ar_stat" 0.7215 0.0475 -0.343469387755102
"ar_stat" 0.7304 0.0448 -0.303061224489796
"ar_stat" 0.7532 0.0447 -0.26265306122449
"ar_stat" 0.7727 0.0472 -0.222244897959184
"ar_stat" 0.7809 0.0534 -0.181836734693878
"ar_stat" 0.8014 0.0452 -0.141428571428571
"ar_stat" 0.8069 0.0453 -0.101020408163265
"ar_stat" 0.8173 0.0473 -0.0606122448979592
"ar_stat" 0.8372 0.0456 -0.0202040816326531
"ar_stat" 0.8452 0.0465 0
"ar_stat" 0.8485 0.045 0.020204081632653
"ar_stat" 0.8592 0.05 0.0606122448979591
"ar_stat" 0.8797 0.0487 0.101020408163265
"ar_stat" 0.894 0.0462 0.141428571428571
"ar_stat" 0.9055 0.0496 0.181836734693878
"ar_stat" 0.9248 0.0449 0.222244897959184
"ar_stat" 0.9351 0.0449 0.26265306122449
"ar_stat" 0.9476 0.0461 0.303061224489796
"ar_stat" 0.9579 0.0466 0.343469387755102
"ar_stat" 0.9698 0.0464 0.383877551020408
"ar_stat" 0.9771 0.0456 0.424285714285714
"ar_stat" 0.9839 0.0492 0.46469387755102
"ar_stat" 0.9871 0.0475 0.505102040816326
"ar_stat" 0.9916 0.0468 0.545510204081633
"ar_stat" 0.9949 0.0463 0.585918367346939
"ar_stat" 0.998 0.0491 0.626326530612245
"ar_stat" 0.9994 0.0463 0.666734693877551
"ar_stat" 0.9999 0.044 0.707142857142857
"ar_stat" 1 0.0419 0.747551020408163
"ar_stat" 1 0.0488 0.787959183673469
"ar_stat" 1 0.0487 0.828367346938776
"ar_stat" 1 0.0502 0.868775510204082
"ar_stat" 1 0.0461 0.909183673469388
"ar_stat" 1 0.0487 0.949591836734694
"ar_stat" 1 0.0478 0.99
"t_paired" 0.5629 0.0484 -0.99
"t_paired" 0.5692 0.0443 -0.949591836734694
"t_paired" 0.5825 0.0484 -0.909183673469388
"t_paired" 0.5892 0.0464 -0.868775510204082
"t_paired" 0.6039 0.0502 -0.828367346938776
"t_paired" 0.6203 0.0487 -0.787959183673469
"t_paired" 0.6322 0.0489 -0.747551020408163
"t_paired" 0.6352 0.0517 -0.707142857142857
"t_paired" 0.6347 0.0525 -0.666734693877551
"t_paired" 0.6572 0.0487 -0.626326530612245
"t_paired" 0.6632 0.0513 -0.585918367346939
"t_paired" 0.6735 0.0539 -0.545510204081633
"t_paired" 0.6869 0.0498 -0.505102040816326
"t_paired" 0.6947 0.0487 -0.46469387755102
"t_paired" 0.7019 0.049 -0.424285714285714
"t_paired" 0.7203 0.0521 -0.383877551020408
"t_paired" 0.7305 0.05 -0.343469387755102
"t_paired" 0.7387 0.0478 -0.303061224489796
"t_paired" 0.7611 0.0475 -0.26265306122449
"t_paired" 0.7809 0.0508 -0.222244897959184
"t_paired" 0.7891 0.0557 -0.181836734693878
"t_paired" 0.8084 0.0473 -0.141428571428571
"t_paired" 0.8133 0.0478 -0.101020408163265
"t_paired" 0.824 0.0509 -0.0606122448979592
"t_paired" 0.8435 0.0485 -0.0202040816326531
"t_paired" 0.8503 0.0486 0
"t_paired" 0.8546 0.0475 0.020204081632653
"t_paired" 0.8653 0.0529 0.0606122448979591
"t_paired" 0.8846 0.0515 0.101020408163265
"t_paired" 0.8984 0.0487 0.141428571428571
"t_paired" 0.9094 0.0528 0.181836734693878
"t_paired" 0.9277 0.048 0.222244897959184
"t_paired" 0.9379 0.0479 0.26265306122449
"t_paired" 0.9504 0.0489 0.303061224489796
"t_paired" 0.9603 0.0496 0.343469387755102
"t_paired" 0.9717 0.049 0.383877551020408
"t_paired" 0.9795 0.049 0.424285714285714
"t_paired" 0.9851 0.051 0.46469387755102
"t_paired" 0.9884 0.0502 0.505102040816326
"t_paired" 0.9924 0.0495 0.545510204081633
"t_paired" 0.9952 0.0492 0.585918367346939
"t_paired" 0.9985 0.0515 0.626326530612245
"t_paired" 0.9995 0.0488 0.666734693877551
"t_paired" 0.9999 0.0472 0.707142857142857
"t_paired" 1 0.045 0.747551020408163
"t_paired" 1 0.0516 0.787959183673469
"t_paired" 1 0.0525 0.828367346938776
"t_paired" 1 0.0533 0.868775510204082
"t_paired" 1 0.0482 0.909183673469388
"t_paired" 1 0.0516 0.949591836734694
"t_paired" 1 0.0507 0.99
"t_equalvar" 0.7686 0.1651 -0.99
"t_equalvar" 0.7714 0.1511 -0.949591836734694
"t_equalvar" 0.7759 0.1505 -0.909183673469388
"t_equalvar" 0.7756 0.149 -0.868775510204082
"t_equalvar" 0.7846 0.1463 -0.828367346938776
"t_equalvar" 0.7905 0.1394 -0.787959183673469
"t_equalvar" 0.7894 0.1353 -0.747551020408163
"t_equalvar" 0.7892 0.1256 -0.707142857142857
"t_equalvar" 0.788 0.1271 -0.666734693877551
"t_equalvar" 0.8023 0.1172 -0.626326530612245
"t_equalvar" 0.7983 0.116 -0.585918367346939
"t_equalvar" 0.8006 0.1097 -0.545510204081633
"t_equalvar" 0.8068 0.1026 -0.505102040816326
"t_equalvar" 0.804 0.1006 -0.46469387755102
"t_equalvar" 0.802 0.0969 -0.424285714285714
"t_equalvar" 0.8159 0.0933 -0.383877551020408
"t_equalvar" 0.8123 0.0847 -0.343469387755102
"t_equalvar" 0.8167 0.0817 -0.303061224489796
"t_equalvar" 0.821 0.0753 -0.26265306122449
"t_equalvar" 0.8331 0.0731 -0.222244897959184
"t_equalvar" 0.8338 0.073 -0.181836734693878
"t_equalvar" 0.8415 0.0598 -0.141428571428571
"t_equalvar" 0.838 0.0578 -0.101020408163265
"t_equalvar" 0.842 0.0533 -0.0606122448979592
"t_equalvar" 0.849 0.0479 -0.0202040816326531
"t_equalvar" 0.8544 0.0469 0
"t_equalvar" 0.8513 0.0434 0.020204081632653
"t_equalvar" 0.8547 0.0439 0.0606122448979591
"t_equalvar" 0.8639 0.0378 0.101020408163265
"t_equalvar" 0.873 0.0342 0.141428571428571
"t_equalvar" 0.8746 0.0306 0.181836734693878
"t_equalvar" 0.8869 0.0255 0.222244897959184
"t_equalvar" 0.8874 0.0207 0.26265306122449
"t_equalvar" 0.898 0.0175 0.303061224489796
"t_equalvar" 0.9037 0.0146 0.343469387755102
"t_equalvar" 0.9145 0.0122 0.383877551020408
"t_equalvar" 0.9178 0.0097 0.424285714285714
"t_equalvar" 0.9253 0.0076 0.46469387755102
"t_equalvar" 0.9242 0.0066 0.505102040816326
"t_equalvar" 0.9357 0.005 0.545510204081633
"t_equalvar" 0.9429 0.0021 0.585918367346939
"t_equalvar" 0.9541 0.0017 0.626326530612245
"t_equalvar" 0.9619 7e-04 0.666734693877551
"t_equalvar" 0.9689 1e-04 0.707142857142857
"t_equalvar" 0.9775 2e-04 0.747551020408163
"t_equalvar" 0.9836 0 0.787959183673469
"t_equalvar" 0.9903 0 0.828367346938776
"t_equalvar" 0.9963 0 0.868775510204082
"t_equalvar" 0.9982 0 0.909183673469388
"t_equalvar" 0.9998 0 0.949591836734694
"t_equalvar" 1 0 0.99
