"Method" "power" "eta"
"ar_stat" 0.9356 -1
"ar_stat" 0.9163 -0.959183673469388
"ar_stat" 0.8919 -0.918367346938776
"ar_stat" 0.8671 -0.877551020408163
"ar_stat" 0.8348 -0.836734693877551
"ar_stat" 0.7884 -0.795918367346939
"ar_stat" 0.7494 -0.755102040816326
"ar_stat" 0.7024 -0.714285714285714
"ar_stat" 0.6506 -0.673469387755102
"ar_stat" 0.5984 -0.63265306122449
"ar_stat" 0.5417 -0.591836734693878
"ar_stat" 0.4934 -0.551020408163265
"ar_stat" 0.4286 -0.510204081632653
"ar_stat" 0.367 -0.469387755102041
"ar_stat" 0.3184 -0.428571428571429
"ar_stat" 0.2793 -0.387755102040816
"ar_stat" 0.235 -0.346938775510204
"ar_stat" 0.1902 -0.306122448979592
"ar_stat" 0.1564 -0.26530612244898
"ar_stat" 0.1261 -0.224489795918367
"ar_stat" 0.0965 -0.183673469387755
"ar_stat" 0.0796 -0.142857142857143
"ar_stat" 0.0684 -0.102040816326531
"ar_stat" 0.06 -0.0612244897959184
"ar_stat" 0.0508 -0.0204081632653061
"ar_stat" 0.054 0
"ar_stat" 0.0523 0.0204081632653061
"ar_stat" 0.0579 0.0612244897959182
"ar_stat" 0.0675 0.102040816326531
"ar_stat" 0.0823 0.142857142857143
"ar_stat" 0.1013 0.183673469387755
"ar_stat" 0.13 0.224489795918367
"ar_stat" 0.1615 0.265306122448979
"ar_stat" 0.1928 0.306122448979592
"ar_stat" 0.2266 0.346938775510204
"ar_stat" 0.2775 0.387755102040816
"ar_stat" 0.3325 0.428571428571428
"ar_stat" 0.3853 0.469387755102041
"ar_stat" 0.434 0.510204081632653
"ar_stat" 0.4947 0.551020408163265
"ar_stat" 0.5415 0.591836734693877
"ar_stat" 0.5964 0.63265306122449
"ar_stat" 0.6641 0.673469387755102
"ar_stat" 0.7071 0.714285714285714
"ar_stat" 0.7468 0.755102040816326
"ar_stat" 0.7946 0.795918367346939
"ar_stat" 0.8351 0.836734693877551
"ar_stat" 0.858 0.877551020408163
"ar_stat" 0.8936 0.918367346938775
"ar_stat" 0.9148 0.959183673469388
"ar_stat" 0.9365 1
"t_equalvar" 0.9363 -1
"t_equalvar" 0.9145 -0.959183673469388
"t_equalvar" 0.8903 -0.918367346938776
"t_equalvar" 0.8627 -0.877551020408163
"t_equalvar" 0.8354 -0.836734693877551
"t_equalvar" 0.7836 -0.795918367346939
"t_equalvar" 0.7463 -0.755102040816326
"t_equalvar" 0.6957 -0.714285714285714
"t_equalvar" 0.6396 -0.673469387755102
"t_equalvar" 0.5926 -0.63265306122449
"t_equalvar" 0.5343 -0.591836734693878
"t_equalvar" 0.4852 -0.551020408163265
"t_equalvar" 0.4148 -0.510204081632653
"t_equalvar" 0.3562 -0.469387755102041
"t_equalvar" 0.3044 -0.428571428571429
"t_equalvar" 0.2661 -0.387755102040816
"t_equalvar" 0.2214 -0.346938775510204
"t_equalvar" 0.1767 -0.306122448979592
"t_equalvar" 0.1417 -0.26530612244898
"t_equalvar" 0.117 -0.224489795918367
"t_equalvar" 0.0862 -0.183673469387755
"t_equalvar" 0.0719 -0.142857142857143
"t_equalvar" 0.0603 -0.102040816326531
"t_equalvar" 0.0521 -0.0612244897959184
"t_equalvar" 0.0455 -0.0204081632653061
"t_equalvar" 0.0441 0
"t_equalvar" 0.0433 0.0204081632653061
"t_equalvar" 0.05 0.0612244897959182
"t_equalvar" 0.0576 0.102040816326531
"t_equalvar" 0.0737 0.142857142857143
"t_equalvar" 0.089 0.183673469387755
"t_equalvar" 0.1179 0.224489795918367
"t_equalvar" 0.1493 0.265306122448979
"t_equalvar" 0.1766 0.306122448979592
"t_equalvar" 0.2141 0.346938775510204
"t_equalvar" 0.261 0.387755102040816
"t_equalvar" 0.3175 0.428571428571428
"t_equalvar" 0.3693 0.469387755102041
"t_equalvar" 0.423 0.510204081632653
"t_equalvar" 0.4865 0.551020408163265
"t_equalvar" 0.5263 0.591836734693877
"t_equalvar" 0.5859 0.63265306122449
"t_equalvar" 0.6509 0.673469387755102
"t_equalvar" 0.7005 0.714285714285714
"t_equalvar" 0.7414 0.755102040816326
"t_equalvar" 0.794 0.795918367346939
"t_equalvar" 0.8299 0.836734693877551
"t_equalvar" 0.8553 0.877551020408163
"t_equalvar" 0.8919 0.918367346938775
"t_equalvar" 0.916 0.959183673469388
"t_equalvar" 0.9366 1
"LR" 0.975042848223947 -1
"LR" 0.965125118519457 -0.959183673469388
"LR" 0.952179823546502 -0.918367346938776
"LR" 0.935644117366519 -0.877551020408163
"LR" 0.914973918023827 -0.836734693877551
"LR" 0.889688058930429 -0.795918367346939
"LR" 0.859417398260916 -0.755102040816326
"LR" 0.823954254691582 -0.714285714285714
"LR" 0.783296470070407 -0.673469387755102
"LR" 0.737680034514719 -0.63265306122449
"LR" 0.687594750378888 -0.591836734693878
"LR" 0.633778913306941 -0.551020408163265
"LR" 0.577191320048437 -0.510204081632653
"LR" 0.518961759317892 -0.469387755102041
"LR" 0.460324053151003 -0.428571428571429
"LR" 0.402538190564323 -0.387755102040816
"LR" 0.346809685111725 -0.346938775510204
"LR" 0.294214697336427 -0.306122448979592
"LR" 0.245638615062296 -0.26530612244898
"LR" 0.201733838220583 -0.224489795918367
"LR" 0.162899829781932 -0.183673469387755
"LR" 0.129285549213283 -0.142857142857143
"LR" 0.100811674560195 -0.102040816326531
"LR" 0.0772079542906874 -0.0612244897959184
"LR" 0.0580598632112591 -0.0204081632653061
"LR" 0.0500000000000002 0
"LR" 0.0580598632112591 0.0204081632653061
"LR" 0.0772079542906872 0.0612244897959182
"LR" 0.100811674560195 0.102040816326531
"LR" 0.129285549213283 0.142857142857143
"LR" 0.162899829781932 0.183673469387755
"LR" 0.201733838220583 0.224489795918367
"LR" 0.245638615062295 0.265306122448979
"LR" 0.294214697336427 0.306122448979592
"LR" 0.346809685111725 0.346938775510204
"LR" 0.402538190564323 0.387755102040816
"LR" 0.460324053151002 0.428571428571428
"LR" 0.518961759317891 0.469387755102041
"LR" 0.577191320048437 0.510204081632653
"LR" 0.63377891330694 0.551020408163265
"LR" 0.687594750378887 0.591836734693877
"LR" 0.737680034514719 0.63265306122449
"LR" 0.783296470070407 0.673469387755102
"LR" 0.823954254691582 0.714285714285714
"LR" 0.859417398260916 0.755102040816326
"LR" 0.889688058930428 0.795918367346939
"LR" 0.914973918023827 0.836734693877551
"LR" 0.935644117366519 0.877551020408163
"LR" 0.952179823546502 0.918367346938775
"LR" 0.965125118519457 0.959183673469388
"LR" 0.975042848223947 1
